ID,lon,lat,bdod_mean_0_5,bdod_mean_15_30,bdod_mean_5_15,cec_mean_0_5,cec_mean_15_30,cec_mean_5_15,clay_mean_0_5,clay_mean_15_30,clay_mean_5_15,ntot_mean_0_5,ntot_mean_15_30,ntot_mean_5_15,phw_mean_0_5,phw_mean_15_30,phw_mean_5_15,sand_mean_0_5,sand_mean_15_30,sand_mean_5_15,silt_mean_0_5,silt_mean_15_30,silt_mean_5_15,soc_mean_0_5,soc_mean_15_30,soc_mean_5_15,pre_mean,pre_sd,tmp_mean,tmp_sd,pet_mean,pet_sd,GEnZname,GEnZ,GEnS
35,8.53333333333333,48.5333333333333,104,123,117,334,272,304,239,244,230,614,179,367,51,52,52,364,362,371,396,394,398,957,396,538,68.2410932494991,32.0364264592781,9.82758634914269,6.76639338277872,1.96149428946705,1.34877898478207,G. Cold and mesic,G,G13
36,7.56666666666667,49.6333333333333,126,139,131,294,182,200,229,250,245,662,146,231,62,64,63,213,225,205,558,526,550,426,132,218,56.6112078633802,26.9719576339,10.3160921219822,6.56245330518387,2.00057474564461,1.39259042347922,H. Cool temperate and dry,H,H9
37,9.36666666666667,48.1333333333333,126,141,136,303,166,210,223,241,233,546,226,312,65,66,66,282,279,275,495,480,492,419,147,229,77.877587834994,37.6815127964461,8.86752890247381,6.75465123095368,1.8586207189351,1.27397373748447,G. Cold and mesic,G,G13
38,9.73333333333333,49.6333333333333,134,146,141,281,162,194,258,299,291,562,130,185,68,70,71,156,162,139,586,539,570,409,137,225,53.3514378845007,25.3451835839303,9.56206914463519,6.87251972402927,1.87212646587741,1.35489255697314,H. Cool temperate and dry,H,H9
39,8.96666666666667,48.3666666666667,99.0761154855643,114.745406824147,110.149606299213,308.737532808399,209.624671916011,227.965879265092,266.629921259843,287.015748031496,281.307086614173,570.984251968504,173.755905511811,281.931758530184,52.8372703412074,54.3070866141732,54.1916010498688,195.853018372703,191.283464566929,187.892388451444,440.309711286089,424.577427821522,433.687664041995,642.50656167979,242.391076115486,374.425196850394,80.6287372160232,38.2344645330567,9.19540246651005,6.70033189538764,1.88678163718218,1.28219822987795,J. Cool temperate and moist,J,J3
40,9.53333333333333,49.2166666666667,109.240932642487,122.277202072539,119.018134715026,260.233160621762,173.19689119171,192.448186528497,277.10103626943,294.715025906736,296.409326424871,515.461139896373,153.025906735751,234.186528497409,56.5310880829016,58.8160621761658,58.9248704663213,182.155440414508,187.914507772021,167.883419689119,468.220207253886,444.873056994819,463.155440414508,580.056994818653,178.323834196891,278.09585492228,53.3402308037226,26.0444746612829,9.43160937690101,6.93560602819163,1.86408048480664,1.36111182682831,J. Cool temperate and moist,J,J5
41,9.08333333333333,49.1833333333333,130,140,136,251,163,182,329,320,334,451,139,156,65,69,70,177,198,158,494,482,508,567,202,241,51.5764377583032,24.9579332012439,10.4666668577227,6.91033849140439,1.98764371233939,1.40225928620634,J. Cool temperate and moist,J,J5
42,8.63333333333333,48.2833333333333,111,133,125,368,234,253,453,488,456,674,207,322,59,63,63,96,93,92,451,419,452,753,182,329,80.6287372160232,38.2344645330567,9.19540246651005,6.70033189538764,1.88678163718218,1.28219822987795,J. Cool temperate and moist,J,J3
43,8.2,49.0833333333333,130,140,136,256,162,188,289,286,279,454,152,157,67,69,70,206,205,203,505,509,518,580,178,200,56.812644661158,26.4840264208297,11.3114944366717,6.86749738815831,2.11178164269732,1.46519831306612,J. Cool temperate and moist,J,J5
44,9.98333333333333,49.45,134,140,138,303,196,204,289,287,316,498,136,209,65,68,68,179,182,164,532,531,520,299,181,205,53.3402308037226,26.0444746612829,9.43160937690101,6.93560602819163,1.86408048480664,1.36111182682831,H. Cool temperate and dry,H,H5
